key,value
ISO3,ECU
HDR Country Name,Ecuador
Human Development Groups,High
UNDP Developeing Regions,LAC
HDI Rank (2023),88
Human Development Index (value) (1990),0.646
Human Development Index (value) (1991),0.649
Human Development Index (value) (1992),0.654
Human Development Index (value) (1993),0.66
Human Development Index (value) (1994),0.667
Human Development Index (value) (1995),0.672
Human Development Index (value) (1996),0.677
Human Development Index (value) (1997),0.682
Human Development Index (value) (1998),0.684
Human Development Index (value) (1999),0.682
Human Development Index (value) (2000),0.683
Human Development Index (value) (2001),0.691
Human Development Index (value) (2002),0.698
Human Development Index (value) (2003),0.703
Human Development Index (value) (2004),0.709
Human Development Index (value) (2005),0.714
Human Development Index (value) (2006),0.718
Human Development Index (value) (2007),0.722
Human Development Index (value) (2008),0.729
Human Development Index (value) (2009),0.731
Human Development Index (value) (2010),0.737
Human Development Index (value) (2011),0.743
Human Development Index (value) (2012),0.75
Human Development Index (value) (2013),0.755
Human Development Index (value) (2014),0.76
Human Development Index (value) (2015),0.764
Human Development Index (value) (2016),0.761
Human Development Index (value) (2017),0.764
Human Development Index (value) (2018),0.767
Human Development Index (value) (2019),0.765
Human Development Index (value) (2020),0.74
Human Development Index (value) (2021),0.753
Human Development Index (value) (2022),0.773
Human Development Index (value) (2023),0.777
Life Expectancy at Birth (years) (1990),68.445
Life Expectancy at Birth (years) (1991),69.04
Life Expectancy at Birth (years) (1992),69.468
Life Expectancy at Birth (years) (1993),70.07
Life Expectancy at Birth (years) (1994),70.876
Life Expectancy at Birth (years) (1995),71.349
Life Expectancy at Birth (years) (1996),71.82
Life Expectancy at Birth (years) (1997),72.007
Life Expectancy at Birth (years) (1998),71.949
Life Expectancy at Birth (years) (1999),71.92
Life Expectancy at Birth (years) (2000),72.09
Life Expectancy at Birth (years) (2001),72.571
Life Expectancy at Birth (years) (2002),73.164
Life Expectancy at Birth (years) (2003),73.632
Life Expectancy at Birth (years) (2004),73.868
Life Expectancy at Birth (years) (2005),73.909
Life Expectancy at Birth (years) (2006),74.01
Life Expectancy at Birth (years) (2007),74.226
Life Expectancy at Birth (years) (2008),74.709
Life Expectancy at Birth (years) (2009),74.901
Life Expectancy at Birth (years) (2010),75.188
Life Expectancy at Birth (years) (2011),75.179
Life Expectancy at Birth (years) (2012),75.486
Life Expectancy at Birth (years) (2013),75.832
Life Expectancy at Birth (years) (2014),76.141
Life Expectancy at Birth (years) (2015),76.222
Life Expectancy at Birth (years) (2016),76.094
Life Expectancy at Birth (years) (2017),76.22
Life Expectancy at Birth (years) (2018),77.248
Life Expectancy at Birth (years) (2019),77.286
Life Expectancy at Birth (years) (2020),72.004
Life Expectancy at Birth (years) (2021),72.746
Life Expectancy at Birth (years) (2022),76.577
Life Expectancy at Birth (years) (2023),77.392
Expected Years of Schooling (years) (1990),11.4033
Expected Years of Schooling (years) (1991),11.24228
Expected Years of Schooling (years) (1992),11.401911
Expected Years of Schooling (years) (1993),11.561543
Expected Years of Schooling (years) (1994),11.721174
Expected Years of Schooling (years) (1995),11.880806
Expected Years of Schooling (years) (1996),12.040437
Expected Years of Schooling (years) (1997),12.200068
Expected Years of Schooling (years) (1998),12.3597
Expected Years of Schooling (years) (1999),12.519331
Expected Years of Schooling (years) (2000),12.678963
Expected Years of Schooling (years) (2001),12.838594
Expected Years of Schooling (years) (2002),12.998226
Expected Years of Schooling (years) (2003),13.157857
Expected Years of Schooling (years) (2004),13.317488
Expected Years of Schooling (years) (2005),13.47712
Expected Years of Schooling (years) (2006),13.636751
Expected Years of Schooling (years) (2007),13.796383
Expected Years of Schooling (years) (2008),13.956014
Expected Years of Schooling (years) (2009),14.115645
Expected Years of Schooling (years) (2010),14.275277
Expected Years of Schooling (years) (2011),14.434908
Expected Years of Schooling (years) (2012),14.59454
Expected Years of Schooling (years) (2013),14.39854
Expected Years of Schooling (years) (2014),14.49009
Expected Years of Schooling (years) (2015),14.58164
Expected Years of Schooling (years) (2016),14.47027
Expected Years of Schooling (years) (2017),14.3589
Expected Years of Schooling (years) (2018),14.24753
Expected Years of Schooling (years) (2019),14.09998
Expected Years of Schooling (years) (2020),14.61038
Expected Years of Schooling (years) (2021),14.731025
Expected Years of Schooling (years) (2022),14.85167
Expected Years of Schooling (years) (2023),14.85167
Mean Years of Schooling (years) (1990),6.75
Mean Years of Schooling (years) (1991),6.807059
Mean Years of Schooling (years) (1992),6.864118
Mean Years of Schooling (years) (1993),6.921176
Mean Years of Schooling (years) (1994),6.978235
Mean Years of Schooling (years) (1995),7.035294
Mean Years of Schooling (years) (1996),7.092353
Mean Years of Schooling (years) (1997),7.149412
Mean Years of Schooling (years) (1998),7.20647
Mean Years of Schooling (years) (1999),7.263529
Mean Years of Schooling (years) (2000),7.320588
Mean Years of Schooling (years) (2001),7.377647
Mean Years of Schooling (years) (2002),7.434706
Mean Years of Schooling (years) (2003),7.491765
Mean Years of Schooling (years) (2004),7.548823
Mean Years of Schooling (years) (2005),7.605882
Mean Years of Schooling (years) (2006),7.662941
Mean Years of Schooling (years) (2007),7.72
Mean Years of Schooling (years) (2008),7.73
Mean Years of Schooling (years) (2009),7.74
Mean Years of Schooling (years) (2010),7.85
Mean Years of Schooling (years) (2011),7.91
Mean Years of Schooling (years) (2012),8.1
Mean Years of Schooling (years) (2013),8.29
Mean Years of Schooling (years) (2014),8.36
Mean Years of Schooling (years) (2015),8.7
Mean Years of Schooling (years) (2016),8.69
Mean Years of Schooling (years) (2017),8.77
Mean Years of Schooling (years) (2018),8.786667
Mean Years of Schooling (years) (2019),8.803333
Mean Years of Schooling (years) (2020),8.82
Mean Years of Schooling (years) (2021),9.11
Mean Years of Schooling (years) (2022),8.97
Mean Years of Schooling (years) (2023),8.97
Gross National Income Per Capita (2021 PPP$) (1990),8236.324316
Gross National Income Per Capita (2021 PPP$) (1991),8552.51981
Gross National Income Per Capita (2021 PPP$) (1992),8698.449483
Gross National Income Per Capita (2021 PPP$) (1993),8812.232555
Gross National Income Per Capita (2021 PPP$) (1994),9056.9825
Gross National Income Per Capita (2021 PPP$) (1995),9129.108932
Gross National Income Per Capita (2021 PPP$) (1996),9083.668329
Gross National Income Per Capita (2021 PPP$) (1997),9353.251235
Gross National Income Per Capita (2021 PPP$) (1998),9441.529946
Gross National Income Per Capita (2021 PPP$) (1999),8581.44423
Gross National Income Per Capita (2021 PPP$) (2000),8323.214278
Gross National Income Per Capita (2021 PPP$) (2001),8886.14067
Gross National Income Per Capita (2021 PPP$) (2002),9274.740836
Gross National Income Per Capita (2021 PPP$) (2003),9365.8322
Gross National Income Per Capita (2021 PPP$) (2004),9819.92638
Gross National Income Per Capita (2021 PPP$) (2005),10230.04875
Gross National Income Per Capita (2021 PPP$) (2006),10529.69535
Gross National Income Per Capita (2021 PPP$) (2007),10539.34321
Gross National Income Per Capita (2021 PPP$) (2008),11221.62492
Gross National Income Per Capita (2021 PPP$) (2009),11199.37793
Gross National Income Per Capita (2021 PPP$) (2010),11527.80559
Gross National Income Per Capita (2021 PPP$) (2011),12289.46056
Gross National Income Per Capita (2021 PPP$) (2012),12818.23313
Gross National Income Per Capita (2021 PPP$) (2013),13540.75406
Gross National Income Per Capita (2021 PPP$) (2014),13890.61235
Gross National Income Per Capita (2021 PPP$) (2015),13673.71136
Gross National Income Per Capita (2021 PPP$) (2016),13395.75637
Gross National Income Per Capita (2021 PPP$) (2017),13899.59786
Gross National Income Per Capita (2021 PPP$) (2018),13722.3682
Gross National Income Per Capita (2021 PPP$) (2019),13459.63171
Gross National Income Per Capita (2021 PPP$) (2020),11975.10495
Gross National Income Per Capita (2021 PPP$) (2021),13242.99729
Gross National Income Per Capita (2021 PPP$) (2022),13896.85441
Gross National Income Per Capita (2021 PPP$) (2023),13986.39698
GDI Group (2023),1
Gender Development Index (value) (1990),
Gender Development Index (value) (1991),
Gender Development Index (value) (1992),
Gender Development Index (value) (1993),
Gender Development Index (value) (1994),
Gender Development Index (value) (1995),
Gender Development Index (value) (1996),
Gender Development Index (value) (1997),
Gender Development Index (value) (1998),
Gender Development Index (value) (1999),
Gender Development Index (value) (2000),
Gender Development Index (value) (2001),
Gender Development Index (value) (2002),
Gender Development Index (value) (2003),
Gender Development Index (value) (2004),
Gender Development Index (value) (2005),
Gender Development Index (value) (2006),
Gender Development Index (value) (2007),
Gender Development Index (value) (2008),
Gender Development Index (value) (2009),
Gender Development Index (value) (2010),0.982
Gender Development Index (value) (2011),0.982
Gender Development Index (value) (2012),0.983
Gender Development Index (value) (2013),0.98
Gender Development Index (value) (2014),0.978
Gender Development Index (value) (2015),0.98
Gender Development Index (value) (2016),0.983
Gender Development Index (value) (2017),0.984
Gender Development Index (value) (2018),0.987
Gender Development Index (value) (2019),0.991
Gender Development Index (value) (2020),1.012
Gender Development Index (value) (2021),1.004
Gender Development Index (value) (2022),0.996
Gender Development Index (value) (2023),0.998
HDI female (1990),
HDI female (1991),
HDI female (1992),
HDI female (1993),
HDI female (1994),
HDI female (1995),
HDI female (1996),
HDI female (1997),
HDI female (1998),
HDI female (1999),
HDI female (2000),
HDI female (2001),
HDI female (2002),
HDI female (2003),
HDI female (2004),
HDI female (2005),
HDI female (2006),
HDI female (2007),
HDI female (2008),
HDI female (2009),
HDI female (2010),0.733253
HDI female (2011),0.737202
HDI female (2012),0.743135
HDI female (2013),0.748434
HDI female (2014),0.751059
HDI female (2015),0.755602
HDI female (2016),0.754246
HDI female (2017),0.757116
HDI female (2018),0.760982
HDI female (2019),0.76049
HDI female (2020),0.745019
HDI female (2021),0.754554
HDI female (2022),0.770891
HDI female (2023),0.775848
"Life Expectancy at Birth, female (years) (1990)",71.398
"Life Expectancy at Birth, female (years) (1991)",72.142
"Life Expectancy at Birth, female (years) (1992)",72.6
"Life Expectancy at Birth, female (years) (1993)",73.245
"Life Expectancy at Birth, female (years) (1994)",74.111
"Life Expectancy at Birth, female (years) (1995)",74.717
"Life Expectancy at Birth, female (years) (1996)",75.121
"Life Expectancy at Birth, female (years) (1997)",75.346
"Life Expectancy at Birth, female (years) (1998)",75.132
"Life Expectancy at Birth, female (years) (1999)",75.075
"Life Expectancy at Birth, female (years) (2000)",75.161
"Life Expectancy at Birth, female (years) (2001)",75.667
"Life Expectancy at Birth, female (years) (2002)",76.27
"Life Expectancy at Birth, female (years) (2003)",76.784
"Life Expectancy at Birth, female (years) (2004)",77.094
"Life Expectancy at Birth, female (years) (2005)",77.131
"Life Expectancy at Birth, female (years) (2006)",77.222
"Life Expectancy at Birth, female (years) (2007)",77.415
"Life Expectancy at Birth, female (years) (2008)",77.916
"Life Expectancy at Birth, female (years) (2009)",78.071
"Life Expectancy at Birth, female (years) (2010)",78.261
"Life Expectancy at Birth, female (years) (2011)",78.127
"Life Expectancy at Birth, female (years) (2012)",78.257
"Life Expectancy at Birth, female (years) (2013)",78.422
"Life Expectancy at Birth, female (years) (2014)",78.618
"Life Expectancy at Birth, female (years) (2015)",78.621
"Life Expectancy at Birth, female (years) (2016)",78.436
"Life Expectancy at Birth, female (years) (2017)",78.589
"Life Expectancy at Birth, female (years) (2018)",79.877
"Life Expectancy at Birth, female (years) (2019)",79.975
"Life Expectancy at Birth, female (years) (2020)",75.876
"Life Expectancy at Birth, female (years) (2021)",76.007
"Life Expectancy at Birth, female (years) (2022)",79.473
"Life Expectancy at Birth, female (years) (2023)",80.139
"Expected Years of Schooling, female (years) (1990)",
"Expected Years of Schooling, female (years) (1991)",
"Expected Years of Schooling, female (years) (1992)",
"Expected Years of Schooling, female (years) (1993)",
"Expected Years of Schooling, female (years) (1994)",
"Expected Years of Schooling, female (years) (1995)",
"Expected Years of Schooling, female (years) (1996)",
"Expected Years of Schooling, female (years) (1997)",
"Expected Years of Schooling, female (years) (1998)",
"Expected Years of Schooling, female (years) (1999)",
"Expected Years of Schooling, female (years) (2000)",
"Expected Years of Schooling, female (years) (2001)",
"Expected Years of Schooling, female (years) (2002)",
"Expected Years of Schooling, female (years) (2003)",
"Expected Years of Schooling, female (years) (2004)",
"Expected Years of Schooling, female (years) (2005)",
"Expected Years of Schooling, female (years) (2006)",
"Expected Years of Schooling, female (years) (2007)",
"Expected Years of Schooling, female (years) (2008)",
"Expected Years of Schooling, female (years) (2009)",
"Expected Years of Schooling, female (years) (2010)",15.184329
"Expected Years of Schooling, female (years) (2011)",15.107385
"Expected Years of Schooling, female (years) (2012)",15.03083
"Expected Years of Schooling, female (years) (2013)",14.97922
"Expected Years of Schooling, female (years) (2014)",14.92761
"Expected Years of Schooling, female (years) (2015)",14.876
"Expected Years of Schooling, female (years) (2016)",14.764847
"Expected Years of Schooling, female (years) (2017)",14.653693
"Expected Years of Schooling, female (years) (2018)",14.54254
"Expected Years of Schooling, female (years) (2019)",14.42975
"Expected Years of Schooling, female (years) (2020)",15.07176
"Expected Years of Schooling, female (years) (2021)",15.21785
"Expected Years of Schooling, female (years) (2022)",15.36394
"Expected Years of Schooling, female (years) (2023)",15.36394
"Mean Years of Schooling, female (years) (1990)",6.38
"Mean Years of Schooling, female (years) (1991)",6.449412
"Mean Years of Schooling, female (years) (1992)",6.518824
"Mean Years of Schooling, female (years) (1993)",6.588235
