Año,Esperanza_Vida_Raw,Índice_Salud,Años_Esperados_Raw,Años_Promedio_Raw,Índice_Educación,INB_per_Capita_Raw,Índice_Ingresos,Tasa_Desempleo_Porc,Índice_Empleo,IDH_Oficial_Raw,IDH_Oficial_Calc,IHDI_Raw,PHDI_Raw,GII_Raw,IDH_Ampliado
2000,72.09,0.8013846153846155,12.678963,7.320588,0.5962130166666666,8323.214278,0.6679130980529099,4.8,0.6799999999999999,0.683,0.6833672130456411,,0.653,0.511,0.6825238498400207
2001,72.571,0.8087846153846153,12.838594,7.377647,0.6025491777777778,8886.14067,0.6777988381572749,4.25,0.7166666666666667,0.691,0.6912610180179573,,0.656,0.498,0.697526724108358
2002,73.164,0.8179076923076923,12.998226,7.434706,0.6088853666666667,9274.740836,0.684264300041036,4.84,0.6773333333333333,0.698,0.6984809575264439,,0.661,0.494,0.693132942691653
2003,73.632,0.8251076923076924,13.157857,7.491765,0.6152215277777777,9365.8322,0.68574064758844,5.66,0.6226666666666667,0.703,0.7034512694221554,,0.666,0.486,0.6823220678149875
2004,73.868,0.8287384615384614,13.317488,7.548823,0.6215576555555555,9819.92638,0.6928924462440196,5.0,0.6666666666666666,0.709,0.7093407566055588,,0.671,0.478,0.6984227391229729
2005,73.909,0.8293692307692309,13.47712,7.605882,0.6278938444444444,10230.04875,0.6990730002467231,3.78,0.748,0.714,0.7140339987849856,,0.675,0.477,0.7223780944946581
2006,74.01,0.830923076923077,13.636751,7.662941,0.6342300055555555,10529.69535,0.7034339865764319,3.55,0.7633333333333333,0.718,0.7183624963325678,,0.678,0.452,0.7293505169847261
2007,74.226,0.8342461538461539,13.796383,7.72,0.6405661944444444,10539.34321,0.7035723284040633,3.14,0.7906666666666666,0.722,0.7217536566964424,,0.68,0.451,0.7383973036594254
2008,74.709,0.8416769230769231,13.956014,7.73,0.6453337222222222,11221.62492,0.7130476746806421,3.92,0.7386666666666667,0.729,0.7289248944278864,,0.686,0.452,0.7313482260289379
2009,74.901,0.8446307692307692,14.115645,7.74,0.6501012500000001,11199.37793,0.7127479078530128,4.61,0.6926666666666667,0.731,0.7314667963722827,,0.684,0.439,0.7215676176333615
2010,75.188,0.8490461538461539,14.275277,7.85,0.6582021388888889,11527.80559,0.7171139863996098,4.09,0.7273333333333334,0.737,0.7372694870689013,0.577,0.689,0.431,0.734772795031846
2011,75.179,0.8489076923076924,14.434908,7.91,0.6646363333333334,12289.46056,0.7267785374740194,3.46,0.7693333333333333,0.743,0.7429316845062385,0.596,0.694,0.429,0.7494459168719544
2012,75.486,0.8536307692307693,14.59454,8.1,0.6754038888888889,12818.23313,0.733142000428001,3.24,0.784,0.75,0.7504825051766539,0.598,0.708,0.424,0.7587250888613772
2013,75.832,0.8589538461538461,14.39854,8.29,0.6762927777777779,13540.75406,0.7414251923031281,3.08,0.7946666666666666,0.755,0.7551918693885864,0.607,0.702,0.408,0.764872819764589
2014,76.141,0.8637076923076924,14.49009,8.36,0.6811691666666666,13890.61235,0.7452785158923568,3.48,0.768,0.76,0.7597081584115165,0.621,0.705,0.396,0.7617726879213003
2015,76.222,0.8649538461538461,14.58164,8.7,0.6950455555555555,13673.71136,0.7429011810229007,3.62,0.7586666666666666,0.764,0.7643854608029218,0.622,0.715,0.391,0.7629517335330505
2016,76.094,0.8629846153846152,14.47027,8.69,0.6916186111111111,13395.75637,0.7397989279268545,4.6,0.6933333333333334,0.761,0.7614846282490098,0.624,0.716,0.386,0.743843163225634
2017,76.22,0.8649230769230769,14.3589,8.77,0.6911916666666666,13899.59786,0.7453761986966189,3.84,0.744,0.764,0.76380734954858,0.628,0.719,0.389,0.7588066156011791
2018,77.248,0.8807384615384616,14.24753,8.786667,0.6886536222222222,13722.3682,0.7434377470132871,3.53,0.7646666666666667,0.767,0.7668271285582451,0.627,0.724,0.391,0.7662864414993517
2019,77.286,0.881323076923077,14.09998,8.803333,0.6851105444444445,13459.63171,0.7405174991399891,3.81,0.746,0.765,0.7646752607357817,0.627,0.722,0.388,0.759963066964572
2020,72.004,0.8000615384615385,14.61038,8.82,0.6998438888888889,11975.10495,0.7228643628327127,6.13,0.5913333333333334,0.74,0.7397082471063591,0.605,0.704,0.373,0.6994447838503611
