Año,Esperanza_Vida_Raw,Índice_Salud,Años_Esperados_Raw,Años_Promedio_Raw,Índice_Educación,INB_per_Capita_Raw,Índice_Ingresos,Tasa_Desempleo_Porc,Índice_Empleo,IDH_Oficial_Raw,IDH_Oficial_Calc,IHDI_Raw,PHDI_Raw,GII_Raw,IDH_Ampliado
2000,79.834,0.920523076923077,15.03796959,10.63767836,0.7723106561666666,74302.98283,0.9985895900896118,2.66,0.8226666666666667,0.892,0.8920815978133275,,0.705,0.093,0.8741971990538192
2001,80.251,0.9269384615384616,15.06583977,10.75139504,0.7768753838333333,73206.67357,0.9963442205273894,2.49,0.834,0.895,0.8952353506515447,,0.703,0.087,0.8795173882460148
2002,80.444,0.9299076923076923,14.96234989,10.86511172,0.7777912209444444,72444.27042,0.9947628175633353,2.92,0.8053333333333333,0.896,0.8960676672120413,,0.715,0.085,0.8724680340999117
2003,80.532,0.9312615384615384,15.10202026,10.9788284,0.7854615094444444,75080.04049,1.0,4.12,0.7253333333333333,0.901,0.9010153535371233,,0.716,0.077,0.853460749379482
2004,81.055,0.9393076923076924,15.18083,11.09254507,0.7914412245555555,75988.94832,1.0,4.41,0.706,0.906,0.9058901044830828,,0.717,0.077,0.8511533484452275
2005,81.236,0.9420923076923078,15.22286034,11.20626175,0.79639929,78661.01112,1.0,4.42,0.7053333333333334,0.909,0.9086740117068407,,0.705,0.074,0.8529128992774266
2006,81.549,0.9469076923076925,15.31324959,11.73969635,0.8166912558333332,80425.10407,1.0,3.73,0.7513333333333333,0.918,0.9178855158173018,,0.708,0.069,0.8730709777388669
2007,81.703,0.9492769230769231,15.42905998,12.27313095,0.8376893644444445,77405.79709,1.0,3.16,0.7893333333333333,0.926,0.9264570879623059,,0.713,0.062,0.8900903488272547
2008,81.971,0.9534,15.48637962,12.80656555,0.85706273,72847.79552,0.9956018852088251,3.03,0.798,0.934,0.9335218537944904,,0.717,0.06,0.8976232432708686
2009,81.989,0.9536769230769231,15.51601982,13.34000015,0.8756672222222223,76884.51324,1.0,3.99,0.734,0.942,0.9417019197907028,,0.725,0.058,0.8848285084973688
2010,82.287,0.9582615384615386,15.6798296,13.31999969,0.8795508118888888,81900.20392,1.0,4.36,0.7093333333333334,0.945,0.9446008463879935,0.87,0.717,0.056,0.8793238242357205
2011,82.574,0.9626769230769231,15.6731596,13.32999992,0.8796988751111111,78996.10126,1.0,4.09,0.7273333333333334,0.946,0.9461025200490751,0.873,0.686,0.053,0.885904733825451
2012,82.617,0.9633384615384616,15.82800961,13.40999985,0.8866669286111111,80093.92938,1.0,4.25,0.7166666666666667,0.949,0.9488112017905627,0.879,0.703,0.05,0.8845332315967447
2013,82.689,0.9644461538461537,16.02375984,13.5250001,0.8959377766666666,79770.57698,1.0,4.43,0.7046666666666667,0.952,0.9524714018061375,0.884,0.706,0.043,0.8833542251010084
2014,83.084,0.9705230769230769,16.08971977,13.64000034,0.9016033382777777,79041.54726,1.0,4.45,0.7033333333333334,0.956,0.9564753731160427,0.884,0.725,0.041,0.8857183544555377
2015,82.846,0.9668615384615385,16.1556797,13.71000004,0.9057688818888889,80606.20914,1.0,4.54,0.6973333333333334,0.957,0.9567399161675839,0.884,0.727,0.038,0.884006638797983
2016,83.446,0.9760923076923077,16.1342907,13.67000008,0.903841411,79016.00197,1.0,4.67,0.6886666666666666,0.959,0.9590937079946055,0.887,0.723,0.038,0.8828726169612575
2017,83.414,0.9756,16.16839981,13.73500013,0.9069555546111111,77993.2677,1.0,4.71,0.6859999999999999,0.96,0.960032492779918,0.886,0.728,0.034,0.8826641302780524
2018,83.564,0.9779076923076921,16.25905037,13.80000019,0.9116402943888888,77788.62854,1.0,4.66,0.6893333333333334,0.962,0.962440281986884,0.889,0.738,0.031,0.8853962203267647
2019,83.78,0.9812307692307692,16.3445797,13.85999966,0.9160160914444444,78234.45513,1.0,4.35,0.7100000000000001,0.965,0.9650683814324845,0.891,0.742,0.016,0.8937851865692318
2020,83.063,0.9702000000000001,16.43366051,13.90448897,0.9199735353888888,74518.43775,0.9990269696433249,4.81,0.6793333333333335,0.963,0.9625085714205722,0.885,0.731,0.012,0.8822144878089727
