key,value
ISO3,CHE
HDR Country Name,Switzerland
Human Development Groups,Very High
UNDP Developeing Regions,
HDI Rank (2023),2
Human Development Index (value) (1990),0.858
Human Development Index (value) (1991),0.86
Human Development Index (value) (1992),0.863
Human Development Index (value) (1993),0.867
Human Development Index (value) (1994),0.87
Human Development Index (value) (1995),0.872
Human Development Index (value) (1996),0.875
Human Development Index (value) (1997),0.88
Human Development Index (value) (1998),0.886
Human Development Index (value) (1999),0.889
Human Development Index (value) (2000),0.892
Human Development Index (value) (2001),0.895
Human Development Index (value) (2002),0.896
Human Development Index (value) (2003),0.901
Human Development Index (value) (2004),0.906
Human Development Index (value) (2005),0.909
Human Development Index (value) (2006),0.918
Human Development Index (value) (2007),0.926
Human Development Index (value) (2008),0.934
Human Development Index (value) (2009),0.942
Human Development Index (value) (2010),0.945
Human Development Index (value) (2011),0.946
Human Development Index (value) (2012),0.949
Human Development Index (value) (2013),0.952
Human Development Index (value) (2014),0.956
Human Development Index (value) (2015),0.957
Human Development Index (value) (2016),0.959
Human Development Index (value) (2017),0.96
Human Development Index (value) (2018),0.962
Human Development Index (value) (2019),0.965
Human Development Index (value) (2020),0.963
Human Development Index (value) (2021),0.968
Human Development Index (value) (2022),0.966
Human Development Index (value) (2023),0.97
Life Expectancy at Birth (years) (1990),77.385
Life Expectancy at Birth (years) (1991),77.648
Life Expectancy at Birth (years) (1992),77.944
Life Expectancy at Birth (years) (1993),78.234
Life Expectancy at Birth (years) (1994),78.495
Life Expectancy at Birth (years) (1995),78.565
Life Expectancy at Birth (years) (1996),79.049
Life Expectancy at Birth (years) (1997),79.233
Life Expectancy at Birth (years) (1998),79.475
Life Expectancy at Birth (years) (1999),79.724
Life Expectancy at Birth (years) (2000),79.834
Life Expectancy at Birth (years) (2001),80.251
Life Expectancy at Birth (years) (2002),80.444
Life Expectancy at Birth (years) (2003),80.532
Life Expectancy at Birth (years) (2004),81.055
Life Expectancy at Birth (years) (2005),81.236
Life Expectancy at Birth (years) (2006),81.549
Life Expectancy at Birth (years) (2007),81.703
Life Expectancy at Birth (years) (2008),81.971
Life Expectancy at Birth (years) (2009),81.989
Life Expectancy at Birth (years) (2010),82.287
Life Expectancy at Birth (years) (2011),82.574
Life Expectancy at Birth (years) (2012),82.617
Life Expectancy at Birth (years) (2013),82.689
Life Expectancy at Birth (years) (2014),83.084
Life Expectancy at Birth (years) (2015),82.846
Life Expectancy at Birth (years) (2016),83.446
Life Expectancy at Birth (years) (2017),83.414
Life Expectancy at Birth (years) (2018),83.564
Life Expectancy at Birth (years) (2019),83.78
Life Expectancy at Birth (years) (2020),83.063
Life Expectancy at Birth (years) (2021),83.648
Life Expectancy at Birth (years) (2022),83.2
Life Expectancy at Birth (years) (2023),83.954
Expected Years of Schooling (years) (1990),13.49625969
Expected Years of Schooling (years) (1991),13.60527039
Expected Years of Schooling (years) (1992),13.8107996
Expected Years of Schooling (years) (1993),14.12714958
Expected Years of Schooling (years) (1994),14.25086021
Expected Years of Schooling (years) (1995),14.39243984
Expected Years of Schooling (years) (1996),14.45893955
Expected Years of Schooling (years) (1997),14.69438457
Expected Years of Schooling (years) (1998),14.9298296
Expected Years of Schooling (years) (1999),14.97961998
Expected Years of Schooling (years) (2000),15.03796959
Expected Years of Schooling (years) (2001),15.06583977
